时间,点赞,评论
2022.04.12,4570,“别让疫情淹没生活的热情和浪漫”BV1LT4y1Y7Le
2022.04.12,30039,那个四大才子是我们学校的，认领一下，好像是一个毕设，邀请的同学当演员[辣眼睛][辣眼睛]
2022.04.12,15397,降落伞那个人不是学生，是跳伞的时候落在学校里了，本来可以不用隔离的，但是他落在那不好落学校
2022.04.13,14346,我真的要笑死，昨天接到紧急通知说湖里不能钓鱼破坏校园生态，我才知道有人居然跑去湖里面钓鱼hhhhhhh救命，他哪来的鱼竿啊！
2022.04.12,10810,跟一个在读博的朋友聊天，然后，他们寝室四个人现在每天没事就搞模拟法庭（学法的）每个人轮着来[辣眼睛]，已经快两个月了
2022.04.12,9649,不是谁的大学都这么快乐的有的学校一点活力都没有，操场8个门只开2个说是为了疫情防控，学校活动全是应付式的，坐在那和坐牢一样[再见]
2022.04.13,6644,有没有谁和我一样是被假面骑士骗进来的[脱单doge]
2022.04.13,6217,2020的一场疫情让大学生回到了1980的清纯校园[跪了][跪了][doge][doge]啊突然好想吟诗一首
2022.04.13,5103,转角不一定遇到爱情，但是会碰到疫情。我吹过你吹过的风，这算不算相拥，算，属于密接。我走过你走过的路，这算不算相逢，算，属于次密接。
2022.04.13,3137,锻炼那个我们宿舍就是，6个人5个人锻炼，只有我一边吃薯片一遍看他们在那练[妙啊][doge]
2022.04.08,3524,好欢乐，把心中的不愉快都扫去了大半。
2022.04.12,2320,别说封校了，我上学时，没封校大晚上8个裸男壮汉已经光膀子端着香，画着胡子满楼道一个一个宿舍转着“自愿”传教了[doge][doge]
2022.04.12,2231,讲一个以前我体育老师讲过的名言“这大学操场上白天你是看不到人的，看到的除了上体育课的剩下的脑子都有点笨，人们都晚上来，你们说奇不奇怪”[嗑瓜子]
2022.04.13,1461,有一天晚上步道乐跑打卡点随机到体育馆广场了，抄近道从小湖泊过去结果大晚上十点多钟两个黑衣服男生在那里钓鱼......旁边就立着一块禁止钓鱼的牌子，而且整个湖面就是一潭死水，飘满了柳絮，其中一个还负责站岗，直勾勾地盯着我看，我发现他俩的时候被吓了一大跳。真是钓鱼佬无处不在，封校的大学校园里的小湖泊都不放过[妙啊]
2022.04.09,1370,真快乐呀，可惜大学室友跟大学室友是不一样的，唉
2022.04.13,1537,我希望正在读这句话的人永远开心，至少，今晚做个好梦，碰到可爱的猫猫，修勾，遇见可爱的人，对，就说你呢[给心心][给心心][给心心][给心心]
2022.04.13,664,20年入学的新生们，你们大学生活还好吗，疫情多少年你们大学几年[doge]
2022.04.13,1667,2分54秒的是武汉大学DAPAB乐队，大家可以关注下@DAPAB乐队-雏菊与拨片
2022.04.14,317,虚假的大学生：平时认真学习，努力考研，课余时间打工。真正的大学生：阿巴阿巴，来局游戏，整活，期末临时抱佛脚学习我：阿巴阿巴，除了吃就是睡，再玩，成绩全凭老师，别人在宿舍整活，我在宿舍躺尸[藏狐]整一个狗都嫌的烂人
2022.04.12,67,都是别人的学校.....我们学校封到现在啥活动也没有，有活动也是新校区的，老校区啥也没有[热词系列_锤]
2022.04.13,303,那个拿饭的人可能是全宿舍地位最高的一个。
2022.04.13,40,这就是青春吗，我们那个时代10年前没有这么多花活，但是感情也是真挚的
2022.04.13,40,河北大学表示晚上八点会有人跳广场舞，每天都有社团在操场唱歌，周六学院会有联谊活动，全部由学生组织[打call][打call]，美汁er汁er
2022.04.09,579,突然好像搞一个特摄cos大战，国内国外一起混战乱玩那种[歪嘴]
2022.04.09,406,爱情公寓这歌真是青春啊
2022.04.09,593,要是有一例全都没了[吃瓜]
2022.04.12,33,"我宣布这个视频会火
青春延续下去"
2022.04.13,147,那个乐队是我的乐队哦，武汉大学DAPAB乐队，大家可以关注我[doge]
2022.04.12,30,怎么说呢，一群有趣的灵魂聚在一起，
2022.04.09,27,看完之后，只剩一句 年轻真好
2022.04.12,92,已经一个多月没上过高数课了[doge]
2022.04.16,22,这么一看我大学上了个寂寞。[酸了]
2022.04.13,76,大学是我见过奇葩最多的地方，有些人你不跟他住同个宿舍还好，一住同宿舍那生活习惯是真不忍直视
2022.04.12,18,江山如此妖娆，成吉思汗竞折腰[喜极而泣]
2022.04.12,18,突然想到封校期间要是搞个快闪…
