时间,点赞,评论
2022.04.17,15885,打工人不用太羡慕，大部分大学都是没有这种氛围的，我一个大学生也羡慕的不行[酸了]
2022.04.27,9402,去年有天下大雨，我室友回来浑身湿透，我们以为是淋雨淋的，结果他说楼下有几个ＳＢ在泼水玩，不小心泼到他了，然后他拿着盆子就下楼了，过会儿我们下去吃饭看见他和那几个正泼在兴头上[笑哭]
2022.04.16,5082,某警校生表示操场只有运动的身影[呆]
2022.04.16,9908,楼上楼下的小哥哥，如果你们喜欢我请为我留灯[doge]
2022.04.17,4706,好羡慕他们的生活中有这么多人愿意一起疯一起闹啊
2022.04.19,2379,每天都有人告诉我，你一定要成为什么样的人，却从没人对我说，你可以享受你自己，成为你自己，享受当下，享受平凡，享受平庸，享受普通却不同的现在。为何一定要成为站在山顶的人，登山的每一处都有极美的风景。
2022.04.22,1977,之前学生自行组织的广场舞(建群第一天就有800人)集合之前就被团委老师遣散了[笑哭]理由是不能多人聚会
2022.04.17,1315,社恐人噩梦
2022.04.16,934,好羡慕啊（打工人表示很羡慕）
2022.04.24,755,"人在海外读书,虽然没有封校,出入自由,但是,异国人的我,融入本地环境何谈容易。所以说还是很羡慕的,某种程度上说,起码可以有一群人陪你喜怒哀乐。在我这里只是一个人漫步街头而已"
2022.04.30,903,拜托，在学校里穿假面骑士盔甲真的超帅的好吧[点赞][点赞]
2022.04.19,490,你们在羡慕大学生的生活，我在羡慕高中的生活……（感慨青春罢了）
2022.04.21,419,封校有封校的快乐，不封校有去东湖江滩江汉路光谷……的快乐[害羞]
2022.05.04,387,那个帝皇侠是我们学校的，可惜那天没有遇上，真的好帅那个衣服[doge][doge]
2022.04.17,239,老早出了社会的打工人表示羡慕[酸了]
2022.05.10,191,我不太喜欢跟一个人深度交往但是这种场合我真的超喜欢
2022.04.23,172,看帝皇1分39不用谢[OK]
2022.04.20,132,留灯是快熄灯时拍的吧
2022.04.22,104,那个迪迦是我朋友cos的，还有个高度相似的赛罗
2022.04.20,70,某个没法返回母星的硅基生命发出了羡慕的声音
2022.04.19,78,半夜我们在宿舍庆祝EDG，然后导员敲门让别吵[无语][无语][无语]
2022.05.03,30,真希望未来的大学生活也像这样有趣[打call]
2022.04.20,5446,臭女人你挡着我看帝皇侠了[doge]
2022.05.12,22,因为抑郁症和留学失败而和这种生活永远失之交臂了，虽然我并不憧憬，但多少还是会感慨，今年夏天我的高中同学都毕业了，而我即将打道回府，一无所有，白手起家，只能看着这样的视频叹两声世事无常
2022.04.21,11,楼上楼下的小妹妹，如果你们喜欢我请为我留灯[doge]
2022.09.02,14,这就体现云南地区大学的优势了，我们学校基本每天晚上都是跳彝族舞，也不难，人越多越好玩[呲牙]
2022.05.12,8,毕业五年了，看这视频，笑着笑着就哭了
2022.05.11,8,大学有跑操 早读 晚自习 不能出校  这是我万万没有想到的
2022.04.30,8,可怜我们高中生啥活动也没有[酸了]
2022.04.29,8,说实话，封就封呗，本胶佬正好把积攒了两年的货全搭出来[doge]顺便，宿舍还有一群坑比当助手，不亦乐乎啊
2022.04.25,8,那个周围全是假面骑士的那个，我今天刚刷到他视频
2022.04.23,8,想要那个发光的迪迦[保卫萝卜_哭哭]
2022.04.21,8,好怀念上大学的日子啊，毕业两年多了，996人已经麻木了[辣眼睛]
2022.04.21,8,满打满算，总共搁大学校园待了两个学期，还是封校的状态
2022.04.20,1613,楼上楼下的小哥哥，如果喜欢我，请助我上5级[喜极而泣]
2022.04.20,8,草，我在吃饭啊！第一个直接喷出来了
2022.04.19,324,疫情占三年。。。那也是疫情只经过了三年。。。还可能占四年，五年。。。哎[捂脸]
2022.04.17,19,他们的青春好热闹，好让人羡慕阿
2022.05.29,14,"现在的学校氛围真好啊
想当初我在衡水上的初高
听说是学习氛围好
结果老师校长收钱区别对待
宿舍各种打架聚堆搞事
根本不存在这些
大学，我们这一届，什么都没赶上
运动会啊，这个那个晚会，从来没有
上学就是自己过自己的
所以看这些没啥感觉
不太现实，不太真实
做做梦就好"
2022.11.14,5,"大学不仅仅只是开始，也是青春的结尾。
把握住最后的时间，燥起来！！"
2022.08.21,5,我 几乎都快羡慕得疯了，倒在床上蒙住被子就开始抱着枕头尖叫流泪，嘴里一边喊着卧槽卧槽，一边又忍着，我边发边哭，打字的手都是抖的，后来我的手抖得越来越厉害，从心头涌起的思想、情怀和梦想，这份歆羡和悔恨交织在一起，我的笑还挂在脸上，可是眼泪一下子就掉下来了。求你了别发了，我生活再难再穷我都不会觉得难过，只有你们发这种东西的时候，我的心里像被刀割一样的痛，打着字泪水就忍不住的往下流。???
2022.07.24,11,其实现实生活中这只是个例只是把每一年都产生的一些个例融到一起了全中国能把这些有趣的事情拍成视频的放出来，一年都没有多少他只是把每一年的这种有趣视频做一个集合，并不是年年都有，并不是每个学校都这样，请不要被骗了
2022.05.21,5,正因有他们世界才有欢乐
2022.05.05,12,友情提示:以上所展示的画面与你的大学无关[藏狐]
2022.04.19,11,2020年毕业，什么遗憾都留下了，唉
2022.05.31,4,大学有限度的情况下不疯玩，以后可没多少机会了
2022.05.13,4,毕业快一年的社畜投出了羡慕的目光～他们这样好快乐啊啊啊
2022.05.10,10,两点睡，六点起，阎王夸我好身体  早安，修仙早八人[灵魂出窍][灵魂出窍]
2022.05.09,4,1:40
2022.05.02,4,看的我好想回到过去[笑哭][大哭]
2022.04.30,9,可惜这种学校只是少数[OK]
2022.04.21,10,当所有人都是假面骑士的时候 正常人反而最尴尬
2022.05.14,9,永远要像你不需要金钱那样地工作，永远要像你不曾被伤害过那样地爱，永远要像没有人在注视你那样地跳舞，永远要像在天堂那样地生活。-----马克吐温
